word,hint
incoherent,unclear or difficult to understand; lacking logical connection
desolate,deserted, empty, and feeling lonely or sad
relentless,persistently harsh or intense; continuing without stopping
disarray,a state of disorder or confusion
privy,having private knowledge of something; being let in on a secret
fend,to defend oneself or manage without help
precedent,an earlier event or action that serves as an example or guide
beeline,a straight direct course toward something
relapse,to fall back into a worse condition after improvement
tarry,to delay or linger; to stay longer than intended
