word,hint
matted,tangled together in a thick mass
pestilence,a deadly disease that spreads quickly; a plague
scald,to burn with hot liquid or steam
snide,derogatory or mocking in an indirect way; slyly insulting
muzzle,to prevent from speaking freely; to silence
futile,incapable of producing any useful result; pointless
oblivious,completely unaware of what is happening around you
awry,away from the expected course; wrong or amiss
trepidation,a feeling of fear or anxiety about something that may happen
assess,to evaluate or estimate the nature, value, or quality of something
